"Kod";"Nazwa";"ogółem;2024;[zł]";
1403000;"Powiat garwoliński";7522,19;
1404000;"Powiat gostyniński";7647,60;
1405000;"Powiat grodziski";8917,27;
1406000;"Powiat grójecki";8082,75;
1407000;"Powiat kozienicki";9682,78;
1408000;"Powiat legionowski";7915,62;
1409000;"Powiat lipski";7654,64;
1410000;"Powiat łosicki";7315,69;
1411000;"Powiat makowski";7433,33;
1412000;"Powiat miński";7573,11;
1413000;"Powiat mławski";7163,69;
1414000;"Powiat nowodworski";9406,19;
1415000;"Powiat ostrołęcki";7268,90;
1416000;"Powiat ostrowski";7260,05;
1417000;"Powiat otwocki";8327,17;
1418000;"Powiat piaseczyński";8328,92;
1419000;"Powiat płocki";7459,36;
1420000;"Powiat płoński";7532,97;
1421000;"Powiat pruszkowski";9285,61;
1422000;"Powiat przasnyski";7437,86;
1423000;"Powiat przysuski";7642,79;
1424000;"Powiat pułtuski";7246,09;
1425000;"Powiat radomski";7220,94;
1426000;"Powiat siedlecki";7097,85;
1427000;"Powiat sierpecki";7342,38;
1428000;"Powiat sochaczewski";9078,20;
1429000;"Powiat sokołowski";7349,16;
1430000;"Powiat szydłowiecki";6948,27;
1432000;"Powiat warszawski zachodni";9124,56;
1433000;"Powiat węgrowski";7630,76;
1434000;"Powiat wołomiński";7959,81;
1435000;"Powiat wyszkowski";7352,95;
1436000;"Powiat zwoleński";7438,45;
1437000;"Powiat żuromiński";7240,39;
1438000;"Powiat żyrardowski";8095,22;
1461000;"Powiat m. Ostrołęka";8537,46;
1462000;"Powiat m. Płock";10572,97;
1463000;"Powiat m. Radom";8269,16;
1464000;"Powiat m. Siedlce";8251,29;
1465000;"Powiat m. st. Warszawa";10714,99;
1600000;"OPOLSKIE";7958,35;
1601000;"Powiat brzeski";7571,06;
1602000;"Powiat głubczycki";8041,17;
1603000;"Powiat kędzierzyńsko-kozielski";8164,14;
1604000;"Powiat kluczborski";7422,45;
1605000;"Powiat krapkowicki";8295,71;
1606000;"Powiat namysłowski";7699,49;
1607000;"Powiat nyski";7462,76;
1608000;"Powiat oleski";7134,87;
1609000;"Powiat opolski";7365,74;
1610000;"Powiat prudnicki";7327,89;
1611000;"Powiat strzelecki";7943,47;
1661000;"Powiat m. Opole";8564,07;
1800000;"PODKARPACKIE";7514,69;
1801000;"Powiat bieszczadzki";7420,13;
1802000;"Powiat brzozowski";6984,81;
1803000;"Powiat dębicki";7122,68;
1804000;"Powiat jarosławski";7204,51;
1805000;"Powiat jasielski";7233,28;
1806000;"Powiat kolbuszowski";6788,07;
1807000;"Powiat krośnieński";6635,07;
1808000;"Powiat leżajski";7055,76;
1809000;"Powiat lubaczowski";7133,97;
1810000;"Powiat łańcucki";7076,29;
1811000;"Powiat mielecki";7480,89;
1812000;"Powiat niżański";6746,25;
1813000;"Powiat przemyski";6883,73;
1814000;"Powiat przeworski";6864,93;
1815000;"Powiat ropczycko-sędziszowski";7146,24;
1816000;"Powiat rzeszowski";7547,50;
1817000;"Powiat sanocki";7090,46;
1818000;"Powiat stalowowolski";7610,66;
1819000;"Powiat strzyżowski";6717,74;
1820000;"Powiat tarnobrzeski";7370,67;
1821000;"Powiat leski";7462,45;
1861000;"Powiat m. Krosno";7010,88;
1862000;"Powiat m. Przemyśl";7329,48;
1863000;"Powiat m. Rzeszów";8680,49;
1864000;"Powiat m. Tarnobrzeg";7268,95;
2000000;"PODLASKIE";7850,16;
2001000;"Powiat augustowski";7617,29;
2002000;"Powiat białostocki";7164,09;
2003000;"Powiat bielski";8397,64;
2004000;"Powiat grajewski";8023,98;
2005000;"Powiat hajnowski";7592,12;
2006000;"Powiat kolneński";7207,86;
2007000;"Powiat łomżyński";8017,92;
2008000;"Powiat moniecki";7464,20;
2009000;"Powiat sejneński";6691,81;
2010000;"Powiat siemiatycki";7293,74;
2011000;"Powiat sokólski";7299,38;
2012000;"Powiat suwalski";7144,86;
2013000;"Powiat wysokomazowiecki";7864,83;
2014000;"Powiat zambrowski";7507,89;
2061000;"Powiat m. Białystok";8281,89;
2062000;"Powiat m. Łomża";7889,95;
2063000;"Powiat m. Suwałki";7399,66;
2200000;"POMORSKIE";8620,28;
2201000;"Powiat bytowski";7423,52;
2202000;"Powiat chojnicki";7048,39;
2203000;"Powiat człuchowski";7313,38;
2204000;"Powiat gdański";7827,33;
2205000;"Powiat kartuski";7329,65;
2206000;"Powiat kościerski";7150,46;
2207000;"Powiat kwidzyński";7500,35;
2208000;"Powiat lęborski";7500,05;
2209000;"Powiat malborski";7104,83;
2210000;"Powiat nowodworski";7530,62;
2211000;"Powiat pucki";7692,27;
2212000;"Powiat słupski";7159,62;
2213000;"Powiat starogardzki";8162,99;
2214000;"Powiat tczewski";7845,56;
2215000;"Powiat wejherowski";7295,37;
2216000;"Powiat sztumski";7425,05;
2261000;"Powiat m. Gdańsk";10107,32;
2262000;"Powiat m. Gdynia";8999,18;
2263000;"Powiat m. Słupsk";7806,84;
2264000;"Powiat m. Sopot";9627,92;
2400000;"ŚLĄSKIE";8537,54;
2401000;"Powiat będziński";7587,04;
2402000;"Powiat bielski";7577,60;
2403000;"Powiat cieszyński";7528,35;
2404000;"Powiat częstochowski";7359,53;
2405000;"Powiat gliwicki";7954,70;
2406000;"Powiat kłobucki";6955,13;
2407000;"Powiat lubliniecki";7591,83;
2408000;"Powiat mikołowski";7696,78;
2409000;"Powiat myszkowski";7171,92;
2410000;"Powiat pszczyński";7666,27;
2411000;"Powiat raciborski";7846,90;
2412000;"Powiat rybnicki";7591,65;
2413000;"Powiat tarnogórski";8233,91;
2414000;"Powiat bieruńsko-lędziński";7218,55;
2415000;"Powiat wodzisławski";7187,88;
2416000;"Powiat zawierciański";7784,61;
2417000;"Powiat żywiecki";7509,60;
2461000;"Powiat m. Bielsko-Biała";8191,32;
2462000;"Powiat m. Bytom";8238,35;
2463000;"Powiat m. Chorzów";7519,70;
2464000;"Powiat m. Częstochowa";7830,22;
2465000;"Powiat m. Dąbrowa Górnicza";8772,92;
2466000;"Powiat m. Gliwice";9399,81;
2467000;"Powiat m. Jastrzębie-Zdrój";12960,64;
2468000;"Powiat m. Jaworzno";9167,03;
2469000;"Powiat m. Katowice";10051,54;
2470000;"Powiat m. Mysłowice";7328,85;
2471000;"Powiat m. Piekary Śląskie";8478,27;
2472000;"Powiat m. Ruda Śląska";7728,46;
2473000;"Powiat m. Rybnik";7912,17;
2474000;"Powiat m. Siemianowice Śląskie";7767,11;
2475000;"Powiat m. Sosnowiec";8003,59;
2476000;"Powiat m. Świętochłowice";7349,50;
2477000;"Powiat m. Tychy";8149,08;
2478000;"Powiat m. Zabrze";8352,73;
2479000;"Powiat m. Żory";7487,46;
2600000;"ŚWIĘTOKRZYSKIE";7664,18;
2601000;"Powiat buski";7336,36;
2602000;"Powiat jędrzejowski";7695,12;
2603000;"Powiat kazimierski";6924,57;
2604000;"Powiat kielecki";7009,11;
2605000;"Powiat konecki";7253,39;
2606000;"Powiat opatowski";6913,47;
2607000;"Powiat ostrowiecki";7188,81;
2608000;"Powiat pińczowski";7440,62;
2609000;"Powiat sandomierski";7791,91;
2610000;"Powiat skarżyski";7951,39;
